Kod SZS,Rodzaj stacji,rząd stacji,typ stacji,rok założenia,rok likwidacji,nazwa stacji,długość geograficzna,szerokość geograficzna,informacje dodatkowe
252140080,O,V,Zlikwidowana,1953,2017,WITNICA,145343,524006,"stacja zlikwidowana 27.04.2017, w jej miejsce założono stację BIAŁCZYK"
253150020,O,V,Czynna,1954,0,WITNO,150347,535640, 
253179995,O,V,Zlikwidowana,1946,1992,WITOSŁAW,172900,531500, 
250170130,O,V,Zlikwidowana,1948,2015,WITOSTOWICE,170243,504103,stację zlikwidowano 1.01.2015
249190630,O,V,Czynna,1995,0,WITÓW,194930,491939, 
249199983,K,IV,Zlikwidowana,1950,1994,WITÓW,1950,4920, 
253220190,O,V,Czynna,1949,0,WIZNA,222424,531210,04.08.2016 przeniesiona 10 m w kierunku NE (stare wsp. 222424 i 531208)
251159964,O,V,Zlikwidowana,1948,1981,WLEŃ,1541,5101, 
252180230,O,V,Czynna,1949,0,WŁADYSŁAWÓW,182841,520613, 
251200220,O,V,Czynna,1972,0,WŁOCHÓW,203644,510556, 
251209998,K,IV,Zlikwidowana,1972,1994,WŁOCHÓW,2037,5106, 
251170310,O,V,Zlikwidowana,1963,2015,WŁOCHY,175520,510348,stację zlikwidowano 1.01.2015
252199992,O,V,Zlikwidowana,1948,1994,WŁOCŁAWEK,190800,523900, 
351230497,S,I,Czynna,1946,0,WŁODAWA,233146,513312, 
251159963,O,V,Zlikwidowana,1949,1981,WŁOSTÓW,1511,5145, 
250209993,O,V,Zlikwidowana,1947,1995,WODZISŁAW,201200,503100, 
250189982,O,V,Zlikwidowana,1955,1981,WODZISŁAW ŚLĄSKI,1829,5001, 
250150020,O,V,Zlikwidowana,1953,2015,WOJCIESZÓW,155459,505741,stację zlikwidowano 1.01.2015
249200520,O,V,Zlikwidowana,1948,1997,WOJKOWA,205953,492037, 
250190570,O,V,Czynna,2018,0,WOJKOWICE,190327,502217,stacja założona 01.06.2018 na terenie wysypiska śmieci
249200040,O,V,Zlikwidowana,1948,2015,WOJNICZ,204942,495711,stację zlikwidowano 1.01.2015
250170420,O,V,Czynna,1963,0,WOJNOWICE,175310,500701, 
250189979,O,V,Zlikwidowana,1949,1981,WOJNOWICE,1809,5004, 
250239992,O,V,Zlikwidowana,1946,1992,WOJSŁAWICE,233400,505500, 
